address,cash_in,city_id,day_1_close_time,day_1_customer_close,day_1_customer_open,day_1_is_open,day_1_name,day_1_open_time,day_2_close_time,day_2_customer_close,day_2_customer_open,day_2_is_open,day_2_name,day_2_open_time,day_3_close_time,day_3_customer_close,day_3_customer_open,day_3_is_open,day_3_name,day_3_open_time,day_4_close_time,day_4_customer_close,day_4_customer_open,day_4_is_open,day_4_name,day_4_open_time,day_5_close_time,day_5_customer_close,day_5_customer_open,day_5_is_open,day_5_name,day_5_open_time,day_6_close_time,day_6_customer_close,day_6_customer_open,day_6_is_open,day_6_name,day_6_open_time,day_7_close_time,day_7_customer_close,day_7_customer_open,day_7_is_open,day_7_name,day_7_open_time,id,is_digital,is_nfc,is_open,latitude,longitude,name,notes,slug,type,work_hours_saturday,work_hours_sunday,work_hours_week,working_weekends
"Neftçala şəhəri, H.Əliyev prospekti 33A",0,46,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,396,0,0,1,39.389006958508325,49.24675054072597,Neftçala filialı,,neftcala-rayon-filiali,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Quba şəhəri, H. Əliyev prospekti 23",0,37,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,397,0,0,1,41.35886907199199,48.50358601896769,Quba  filialı,,quba-rayon-filiali-658,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Xaçmaz şəhəri,  H. Z. Tağıyev küçəsi 9",0,25,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,398,0,0,1,41.46318854870102,48.7952546467025,Xaçmaz  filialı,,xacmaz-filiali-659,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"İmişli şəhəri, H. Əliyev prospekti 144",0,29,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,14:00,10:00,0,Şənbə,,,,,0,Bazar,,399,0,0,1,39.86813577249739,48.05503323335416,İmişli filialı,,imishli-rayon-filiali-660,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),1
"Oğuz şəhəri, H. Aslanov küçəsi 10",0,47,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,400,0,0,1,41.071784140564404,47.46331213415401,Oğuz filialı,,oguz-rayon-filiali-661,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Balakən şəhəri, M. Əsədov küçəsi 21",0,10,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,401,0,0,1,41.72250002271381,46.40294357838069,Balakən  filialı,,balaken-rayon-filiali-662,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Şəki şəhəri, M.Müşfiq küçəsi 40",0,59,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,402,0,0,1,41.199257108700415,47.177159019864916,Şəki  filialı,,sheki-rayon-filiali-663,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Qax şəhəri, Ü. Hacıbəyov küçəsi 10",0,33,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,403,0,0,1,41.422146594221026,46.91397377625641,Qax filialı,,qax-rayon-filiali,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Gəncə şəhəri, H.Əliyev prospekti 101A",0,20,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,518,0,0,1,40.68679798329542,46.36465239219415,Nizami filialı,,gence-kart-merkezi-860,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Siyəzən şəhəri, Əziz Əliyev küç 3",0,54,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,771,0,0,1,41.07585949564536,49.112976834124865,Siyəzən filialı,,siyezen-rayon-filiali-399,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
